genus,species,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Marginatia,patersonensis,360.700,326.400,20,0,NaN
Marginatia,sp.,360.700,345.300,1,0,NaN
Marginicinctus,reticulatus,345.300,326.400,1,0,NaN
Marginicinctus,sp.,345.300,326.400,17,0,NaN
Marginirugus,barringtonensis,336.000,326.400,15,0,NaN
Marinurnula,mantuanensis,272.500,259.000,19,7,0.0399
Marinurnula,prima,290.100,279.500,1,1,0.0065
Marinurnula,sp.,279.500,272.500,1,0,NaN
Martinia,glabra,268.000,265.000,1,0,NaN
Martinia,sp.,295.000,279.500,2,0,NaN
Martinia,"sp. A",265.000,259.000,3,0,NaN
Martinia,"sp. B",279.500,259.000,2,0,NaN
Martiniopsis,sp.,290.100,279.500,1,0,NaN
Martiniopsis,"sp. nov. A",279.500,272.500,1,0,NaN
Martiniopsis,"sp. nov. B",279.500,272.500,1,0,NaN
Martiniopsis,"sp. nov. C",279.500,272.500,1,0,NaN
Megachonetes,sp.,360.700,326.400,5,0,NaN
Megasteges,randsi,290.100,279.500,13,5,0.2389
Megasteges,septentrionalis,259.000,254.000,4,0,NaN
Megousia,crenulata,279.500,272.500,1,0,NaN
Megousia,solita,290.100,272.500,23,6,0.4224
Megousia,sp.,290.100,279.500,1,0,NaN
Merista,sp.,360.700,353.800,1,0,NaN
Mesopunctia,macropustulosus,268.000,259.000,21,20,0.0236
Mingenewia,anomala,290.100,272.500,3,2,0.6124
Misolia,sp.,221.500,201.600,1,0,NaN
Myodelthyrium,dickinsi,295.000,279.500,18,1,0.5000
Nambuccalinus,bourkei,298.900,295.000,6,0,NaN
Neochonetes,afanasyevae,272.500,268.000,7,3,1.0000
Neochonetes,cockbaini,290.100,279.500,4,2,0.6547
Neochonetes,hardmani,259.000,254.000,1,1,0.0377
Neochonetes,hockingi,290.100,279.500,1,1,0.5143
Neochonetes,magnus,290.100,279.500,2,1,0.0889
Neochonetes,nalbiaensis,279.500,272.500,2,2,0.7638
Neochonetes,obrieni,295.000,290.100,3,0,NaN
Neochonetes,pratti,295.000,272.500,38,6,0.5308
Neochonetes,robustus,295.000,279.500,3,3,0.6586
Neochonetes,sp.,290.100,254.000,3,1,1.0000
Neochonetes,tenuicapillatus,290.100,272.500,12,11,0.9050
Neospirifer,amplus,290.100,272.500,9,6,0.4368
Neospirifer,campbelli,326.400,318.100,8,0,NaN
Neospirifer,concentricus,279.500,272.500,4,4,0.0728
Neospirifer,foordi,295.000,290.100,2,2,0.7071
Neospirifer,grandis,265.000,254.000,8,4,0.1138
Neospirifer,moosakhailensis,295.000,272.500,3,0,NaN
Neospirifer,pristinus,318.100,306.950,1,0,NaN
Neospirifer,senilis,326.400,306.950,2,0,NaN
Neospirifer,sp.,326.400,254.000,10,2,0.1336
Neospirifer,"sp. A",295.000,290.100,1,1,1.0000
Neospirifer,"sp. B",290.100,279.500,1,1,0.2000
Neospirifer,spp.,268.000,265.000,1,0,NaN
Neospirifer,striatus,295.000,290.100,1,0,NaN
Neotornquistia,tropicalis,279.500,272.500,1,1,0.5000
Nothalosina,voiseyi,265.000,259.000,4,0,NaN
Notolosia,dickinsi,259.000,254.000,1,1,0.3208
Notolosia,millyiti,259.000,254.000,2,1,0.7143
Notospirifer,darwini,290.100,265.000,12,0,NaN
Notospirifer,extensus,290.100,279.500,5,0,NaN
Notospirifer,gentilis,279.500,272.500,4,1,1.0000
Notospirifer,microstriatus,272.500,268.000,1,1,0.0082
Notospirifer,minutus,272.500,259.000,19,2,0.0217
Notospirifer,paraextensus,290.100,279.500,2,2,0.0088
Notospirifer,sp.,290.100,272.500,3,0,NaN
Notostrophia,alta,290.100,279.500,2,2,0.1237
Notostrophia,bifurcata,290.100,279.500,7,6,0.0580
Notostrophia,sp.,290.100,279.500,3,3,0.0169
Occidalia,mingenewensis,290.100,279.500,1,1,0.0714
Occidalia,shahi,290.100,279.500,1,1,0.0667
Orbiculoidea,rotularia,290.100,279.500,3,3,0.0256
Orbiculoidea,sp.,360.700,326.400,3,0,NaN
Orbiculoidea,subcircularis,326.400,318.100,1,0,NaN
Orthis,spinigera,339.400,336.000,1,0,NaN
Orthotetes,australis,360.700,326.400,20,0,NaN
Orthotetes,crenistria,295.000,272.500,3,0,NaN
Orthotetes,guppyi,290.100,268.000,11,6,0.2365
Ovatia,sp.,345.300,326.400,1,0,NaN
Papulinella,hillae,290.100,279.500,17,6,0.0265
Paucispinauria,concava,279.500,268.000,28,9,0.1929
Paucispinauria,geniculata,290.100,279.500,18,15,0.0456
Paucispinauria,paucispinosa,279.500,268.000,13,3,0.3409
Paucispinauria,solida,272.500,259.000,58,0,NaN
Permasyrinx,procera,295.000,268.000,19,7,0.0283
Permasyrinx,prolonga,279.500,272.500,2,0,NaN
Permasyrinx,sp.,279.500,272.500,1,1,0.0036
Permasyrinx,subelongata,290.100,279.500,7,7,0.0327
Permasyrinx,transversa,290.100,279.500,1,1,0.1667
Phricodothyris,campbelli,360.700,345.300,1,1,0.0134
Phricodothyris,occidentalis,295.000,290.100,4,2,0.1562
Phricodothyris,sp.,360.700,353.800,2,1,0.0536
Plekonella,acuta,268.000,259.000,7,3,0.0230
Plekonella,rara,290.100,279.500,2,2,0.0319
Plekonella,southlandensis,265.000,259.000,2,1,0.0185
Plekonella,sp.,290.100,279.500,6,1,0.0122
Plekonina,spissatella,290.100,279.500,2,2,0.0113
Pleuropugnoides,"sp. B",345.300,326.400,20,0,NaN
Plicochonetes,sexfidus,360.700,345.300,1,1,0.1180
Plicochonetes,sexifidus,345.300,326.400,3,0,NaN
Plicochonetes,sp.,345.300,326.400,2,0,NaN
Podtsheremia,sp.,345.300,326.400,8,0,NaN
Productina,globosa,360.700,326.400,10,0,NaN
Productina,macdonaldi,336.000,326.400,1,0,NaN
Productina,pectinoides,345.300,326.400,1,0,NaN
Productina,"sp. A",345.300,326.400,4,0,NaN
Productina,"sp. B",345.300,326.400,2,0,NaN
Productina,striata,345.300,326.400,1,0,NaN
Productus,sp.,290.100,254.000,4,0,NaN
Productus,undulatus,272.500,268.000,1,0,NaN
Prospira,burnettensis,345.300,326.400,1,0,NaN
Prospira,prima,360.700,345.300,3,0,NaN
Prospira,sp.,360.700,326.400,3,0,NaN
Prospira,tellebangensis,360.700,345.300,8,0,NaN
Prospira,typa,360.700,345.300,2,0,NaN
Pseudodielasma,sp.,268.000,259.000,2,0,NaN
Pseudostrophalosia,blakei,272.500,259.000,27,12,0.1533
Pseudostrophalosia,brittoni,290.100,279.500,4,1,0.1927
Pseudostrophalosia,clarkei,279.500,265.000,58,1,0.8621
Pseudostrophalosia,crassa,268.000,265.000,51,0,NaN
Pseudostrophalosia,ingelarensis,268.000,259.000,14,0,NaN
Pseudosyrinx,exsuperans,336.000,326.400,4,0,NaN
Pseudosyrinx,sinuosa,290.100,279.500,2,0,NaN
Pseudosyrinx,sp.,272.500,265.000,2,0,NaN
Psilocamara,saginatum,290.100,279.500,1,0,NaN
Psilocamara,sp.,290.100,279.500,1,0,NaN
Pterospirifer,sp.,290.100,279.500,1,0,NaN
Pterospirifer,"sp. nov.",279.500,272.500,1,0,NaN
Pugnax,minutus,360.700,345.300,1,0,NaN
Pulsia,sp.,336.000,326.400,1,0,NaN
Punctospirifer,ambiguus,326.400,298.900,2,0,NaN
Punctospirifer,amblys,360.700,326.400,6,1,0.0643
Punctospirifer,sp.,360.700,279.500,9,0,NaN
Pustula,abbotti,360.700,326.400,14,1,0.0295
Pustula,larga,345.300,326.400,1,0,NaN
Pustula,multispinata,360.700,345.300,1,0,NaN
Pustula,sp.,345.300,326.400,1,0,NaN
Pustuloplica,papillosa,279.500,272.500,2,1,0.0161
Pustulospiriferina,australis,295.000,259.000,8,0,NaN
Pustulospiriferina,etheridgei,290.100,279.500,8,5,0.0223
Pustulospiriferina,lirata,290.100,279.500,19,19,0.0516
Quadratia,rangariensis,360.700,345.300,1,0,NaN
Quadratia,"sp. B",345.300,326.400,1,0,NaN
Quadrospira,hardmani,295.000,279.500,21,9,0.2758
Quadrospira,plicatus,290.100,279.500,4,4,0.3238
Quadrospira,postplicatus,290.100,272.500,3,2,0.1005
Quadrospira,preplicatus,295.000,290.100,1,0,NaN
Quadrospira,woolagensis,290.100,279.500,1,1,0.1000
Quinquenella,australis,279.500,272.500,1,0,NaN
Rawdonia,nasharae,345.300,326.400,4,0,NaN
Reedoconcha,sp.,290.100,279.500,2,0,NaN
Reticularia,sp.,279.500,272.500,1,0,NaN
Reticulatia,cinctifera,345.300,314.600,2,0,NaN
Retimarginifera,perforata,279.500,272.500,9,5,0.7379
Retimarginifera,waterhousei,272.500,268.000,3,3,0.8736
Rhipidomella,australis,360.700,326.400,33,0,NaN
Rhipidomella,fortimuscula,360.700,326.400,11,1,0.2413
Rhipidomella,myosa,360.700,345.300,1,0,NaN
Rhynchopora,australasica,298.900,295.000,2,2,1.0000
Rhynchopora,punctata,345.300,318.100,9,0,NaN
Rossirhynchus,sp.,360.700,345.300,1,0,NaN
Rotaia,subtrigona,345.300,326.400,3,0,NaN
Rugauris,sp.,345.300,326.400,1,0,NaN
Rugosochonetes,auriculus,345.300,326.400,6,0,NaN
Rugosochonetes,careyi,360.700,326.400,26,0,NaN
Rugosochonetes,gloucesterensis,336.000,326.400,7,0,NaN
Rugosochonetes,kennedyensis,360.700,326.400,10,0,NaN
Rugosochonetes,magnus,360.700,345.300,5,0,NaN
Rugosochonetes,sp.,345.300,326.400,1,0,NaN
Rugosochonetes,werriensis,360.700,345.300,1,0,NaN
Saeptathaerus,fairbridgei,259.000,254.000,1,0,NaN
Saeptathaerus,reclinis,259.000,254.000,3,0,NaN
Saeptathaerus,spinosus,295.000,290.100,4,0,NaN
Schellwienella,burlingtonensis,360.700,345.300,8,0,NaN
Schizophoria,resupinata,360.700,345.300,5,0,NaN
Schizophoria,sp.,336.000,326.400,1,0,NaN
Schizophoria,verulamensis,360.700,326.400,39,1,0.0912
Schuchertella,concentrica,336.000,326.400,19,0,NaN
Schuchertella,pseudoseptata,360.700,326.400,5,0,NaN
Schuchertella,sp.,360.700,279.500,12,3,0.0107
Schuchertella,"sp. B",345.300,326.400,3,0,NaN
Scoloconcha,sp.,345.300,326.400,12,0,NaN
Sedecularia,glabra,279.500,272.500,2,2,0.0434
Semilingula,occidentaustralis,290.100,279.500,2,2,1.0000
Seminula,sp.,295.000,290.100,1,0,NaN
Seminula,subtilita,295.000,290.100,1,0,NaN
Siphonotreta,curta,272.500,268.000,1,0,NaN
Spinomartinia,queenslandica,279.500,268.000,5,4,0.1101
Spinomartinia,sp.,265.000,259.000,3,3,0.0177
Spinuliplica,spinulosa,326.400,314.600,18,0,NaN
Spirelytha,fredericksi,295.000,279.500,20,8,0.4213
Spirelytha,kashirtsevi,290.100,279.500,1,1,1.0000
Spirelytha,miloradovichi,290.100,272.500,10,5,0.3701
Spirelytha,sp.,290.100,279.500,1,0,NaN
Spirelytha,"sp. A",290.100,279.500,2,2,0.3536
Spirelytha,stepanoviana,272.500,268.000,2,0,NaN
Spiriferella,australasica,290.100,272.500,9,2,0.7071
Spiriferella,cundlegoensis,290.100,279.500,2,2,1.0000
Spiriferella,etheridgei,279.500,272.500,2,0,NaN
Spiriferella,sp.,295.000,265.000,2,1,0.2000
Spiriferella,"sp. A",290.100,279.500,1,1,0.1667
Spiriferellina,anguliplica,290.100,279.500,3,3,0.0330
Spiriferellina,baywullensis,360.700,345.300,1,0,NaN
Spiriferellina,disparata,290.100,279.500,6,6,0.0267
Spiriferellina,neerkolensis,345.300,318.100,5,0,NaN
Spiriferellina,quadriplicata,268.000,259.000,4,4,0.2031
Spiriferellina,sp.,295.000,279.500,2,0,NaN
Spirifer,convolutus,295.000,290.100,1,0,NaN
Spirifer,crassus,295.000,290.100,1,0,NaN
Spirifer,liangchowensis,326.400,318.100,3,0,NaN
Spirifer,lirellus,360.700,326.400,17,1,0.1743
Spirifer,osbonei,345.300,326.400,1,0,NaN
Spirifer,osbornei,345.300,326.400,11,0,NaN
Spirifer,pristinus,326.400,306.950,4,0,NaN
Spirifer,sp.,345.300,265.000,6,0,NaN
Spirifer,vespertilio,295.000,290.100,1,0,NaN
Spirigerella,sp.,290.100,259.000,3,1,0.5000
Spirigerella,"sp. nov.",290.100,279.500,1,0,NaN
Stegacanthia,abbotti,345.300,326.400,1,0,NaN
Stegacanthia,larga,336.000,326.400,2,0,NaN
Stenoscisma,laevis,345.300,326.400,4,0,NaN
Stenoscisma,sp.,360.700,254.000,2,0,NaN
Streptorhynchus,costatus,290.100,272.500,6,3,0.7021
Streptorhynchus,hoskingae,290.100,272.500,14,7,0.4762
Streptorhynchus,johnstonei,272.500,268.000,6,1,1.0000
Streptorhynchus,luluigui,265.000,254.000,10,3,0.4807
Streptorhynchus,pelargonatus,259.000,254.000,2,2,0.4344
Streptorhynchus,perfidiabadensis,272.500,268.000,3,2,0.2205
Streptorhynchus,sp.,318.100,272.500,7,5,0.2138
Streptorhynchus,"sp. nov.",268.000,265.000,3,0,NaN
Streptorhynchus,"sp. nov. A",295.000,290.100,2,2,0.5000
Streptorhynchus,spinigera,360.700,326.400,13,0,NaN
Streptorhynchus,variabilis,290.100,272.500,7,3,0.5898
Strophalosia,concentrica,295.000,290.100,9,0,NaN
Strophalosia,enantiensis,290.100,279.500,2,2,0.4082
Strophalosia,sp.,290.100,279.500,1,0,NaN
Strophalosia,"sp. nov.",290.100,279.500,1,0,NaN
Strophalosia,subcircularis,295.000,290.100,9,0,NaN
Strophalosia,yalwalensis,279.500,272.500,5,0,NaN
Strophopleura,anterosa,360.700,345.300,1,0,NaN
Subansiria,brevis,268.000,265.000,2,0,NaN
Subansiria,pelicanensis,268.000,265.000,1,0,NaN
Subansiria,sp.,290.100,265.000,6,0,NaN
Sulcicosta,costata,290.100,279.500,1,0,NaN
Sulcicosta,dolosus,272.500,268.000,1,1,1.0000
Sulcicosta,plicata,279.500,272.500,1,0,NaN
Sulciplica,crassa,295.000,290.100,3,0,NaN
Sulciplica,occidentalis,268.000,265.000,1,0,NaN
Sulciplica,phalaena,272.500,265.000,3,0,NaN
Sulciplica,sp.,290.100,265.000,6,0,NaN
Sulciplica,stutchburii,290.100,279.500,9,6,0.0147
Sulciplica,subglobosa,295.000,290.100,1,0,NaN
Sulciplica,tasmaniensis,290.100,279.500,4,0,NaN
Sulciplica,transversa,290.100,259.000,21,11,0.0829
Svalbardia,cracowensis,290.100,279.500,5,4,0.1174
Svalbardia,narelliensis,290.100,272.500,5,2,0.6455
Svalbardia,thomasi,279.500,272.500,1,1,0.9677
Syrella,elongata,290.100,279.500,28,24,0.0483
Syrella,occidenta,290.100,272.500,2,1,0.2500
Syringothyris,principalis,360.700,345.300,2,0,NaN
Syringothyris,sp.,345.300,326.400,5,0,NaN
Syringothyris,"sp. A",345.300,326.400,1,0,NaN
Tabellina,cracowensis,290.100,279.500,6,6,0.0531
Tabellina,denmeadi,290.100,279.500,16,8,0.1255
Taeniothaerus,farleyensis,290.100,272.500,17,0,NaN
Taeniothaerus,homevalensis,290.100,279.500,31,2,0.4592
Taeniothaerus,irwinensis,295.000,290.100,3,2,0.1543
Taeniothaerus,lakismatos,290.100,279.500,7,5,0.0658
Taeniothaerus,quadratiformis,290.100,279.500,2,1,0.1444
Taeniothaerus,sp.,295.000,268.000,41,9,0.0447
Taeniothaerus,"sp. A",290.100,279.500,1,0,NaN
Taeniothaerus,subquadratus,295.000,265.000,36,0,NaN
Terebratula,hastata,272.500,265.000,2,0,NaN
Terebratula,sp.,272.500,265.000,2,0,NaN
Terrakea,brachythaera,279.500,265.000,29,2,0.0879
Terrakea,brachythaerus,295.000,265.000,13,0,NaN
Terrakea,dickinsi,290.100,272.500,33,8,0.1145
Terrakea,elongata,268.000,265.000,53,3,0.6277
Terrakea,etheridgei,279.500,268.000,23,0,NaN
Terrakea,exmoorensis,268.000,265.000,13,6,0.4108
Terrakea,fragilis,268.000,265.000,1,0,NaN
Terrakea,multispinosa,268.000,259.000,63,36,0.3912
Terrakea,pollex,290.100,272.500,86,18,0.1411
Terrakea,quadrata,265.000,259.000,8,0,NaN
Terrakea,rylstonensis,279.500,272.500,6,0,NaN
Terrakea,sp.,290.100,259.000,11,1,0.0663
Tetracamera,subtrigona,360.700,345.300,1,0,NaN
Thomasaria,voiseyi,360.700,353.800,3,0,NaN
Tigillumia,biparallela,279.500,272.500,5,5,0.1047
Tigillumia,havilensis,268.000,259.000,7,0,NaN
Tivertonia,sp.,290.100,279.500,2,0,NaN
Tivertonia,yarrolensis,290.100,279.500,8,0,NaN
Tomiopsis,balgoensis,272.500,268.000,2,2,1.0000
Tomiopsis,confusus,272.500,268.000,13,13,0.2045
Tomiopsis,dissimilis,265.000,259.000,3,3,0.2262
Tomiopsis,globosus,272.500,268.000,3,2,0.2887
Tomiopsis,hardmani,265.000,254.000,12,9,0.4211
Tomiopsis,konincki,295.000,279.500,21,1,1.0000
Tomiopsis,notoplicatus,295.000,290.100,3,3,1.0000
Tomiopsis,oviformis,279.500,265.000,13,0,NaN
Tomiopsis,pauciplicatus,290.100,279.500,4,4,0.2887
Tomiopsis,plana,290.100,272.500,15,1,0.1641
Tomiopsis,postglabra,290.100,279.500,6,6,0.0436
Tomiopsis,rarus,290.100,279.500,2,2,0.0373
Tomiopsis,regina,290.100,279.500,3,3,0.0516
Tomiopsis,sp.,279.500,272.500,2,1,0.0482
Tomiopsis,"sp. A",295.000,290.100,1,1,1.0000
Tomiopsis,woodwardi,295.000,279.500,5,5,0.3002
Tornquistia,gregoryi,279.500,272.500,2,2,1.0000
Tornquistia,magna,290.100,272.500,3,2,0.1890
Tornquistia,occidentalis,295.000,290.100,8,5,0.5047
Tornquistia,subquadratus,295.000,290.100,2,1,0.5000
Trigonirhynchella,sp.,221.500,201.600,1,0,NaN
Trigonotreta,australis,290.100,279.500,30,24,0.0658
Trigonotreta,cracovensis,290.100,272.500,22,15,0.0630
Trigonotreta,dickinsi,290.100,272.500,5,5,0.4969
Trigonotreta,hobartensis,290.100,272.500,6,0,NaN
Trigonotreta,lightjacki,272.500,268.000,1,1,0.2889
Trigonotreta,lyonsensis,295.000,290.100,1,1,0.7500
Trigonotreta,neoaustralis,295.000,279.500,35,13,0.3739
Trigonotreta,occidentalis,295.000,290.100,4,0,NaN
Trigonotreta,sp.,298.900,259.000,16,3,0.0283
Trigonotreta,"sp. A",290.100,279.500,9,0,NaN
Trigonotreta,"sp. C",268.000,265.000,11,0,NaN
Trigonotreta,"sp. nov.",290.100,272.500,16,0,NaN
Trigonotreta,stokesi,295.000,279.500,15,0,NaN
Trigonotreta,victoriae,295.000,290.100,1,0,NaN
Tulcumbella,microstriata,360.700,353.800,1,0,NaN
Tulcumbella,tenuistriata,360.700,345.300,1,0,NaN
Tweedaleia,tweedalei,290.100,265.000,10,1,0.0305
Tylothyris,minima,360.700,353.800,1,0,NaN
Tylothyris,multicostatus,345.300,326.400,2,0,NaN
Tylothyris,planimedia,360.700,326.400,11,1,0.0804
Tylothyris,sp.,360.700,326.400,1,0,NaN
Unispirifer,sp.,345.300,326.400,1,0,NaN
Unispirifer,striatoconvolutus,360.700,326.400,40,0,NaN
Voiseyella,anterosa,345.300,326.400,8,0,NaN
Voiseyella,sp.,345.300,326.400,1,0,NaN
Waagenites,sp.,259.000,254.000,2,1,0.1250
Waagenites,stani,259.000,254.000,1,0,NaN
Waagenoconcha,delicatula,360.700,326.400,15,0,NaN
Waagenoconcha,imperfecta,265.000,254.000,7,5,0.1540
Waagenoconcha,sp.,259.000,254.000,2,0,NaN
Werriea,australis,360.700,326.400,3,0,NaN
Werriea,callytharrensis,295.000,279.500,15,7,0.6573
Werriea,camerata,295.000,272.500,9,8,0.4473
Werriea,crespinae,295.000,290.100,1,0,NaN
Werriea,lindneri,295.000,279.500,4,2,0.2273
Werriea,sp.,290.100,272.500,7,4,0.2686
Werriea,teicherti,279.500,268.000,3,2,0.7071
Woolagia,playfordi,290.100,279.500,1,1,0.1778
Wooramella,senticosa,295.000,290.100,3,0,NaN
Wyndhamia,jukesi,290.100,272.500,4,0,NaN
Wyndhamia,sp.,290.100,279.500,3,0,NaN
Wyndhamia,typica,279.500,272.500,14,0,NaN
Yagonia,gibberensis,336.000,318.100,12,0,NaN
Yochelsonia,stehlii,272.500,268.000,2,2,0.1344
Yochelsonia,thomasi,279.500,268.000,4,2,0.7071
Zugmayerella,sp.,221.500,201.600,1,0,NaN
